product_name,Attributes
Sinjimoru 3 in 1 Apple MagSafe Wallet for iPhone - Olive Grey,"Product color:Olive Grey, Product Compatible Devices:IPhone 14 Pro Max / iPhone 14 Pro / iPhone 14 Plus / iPhone 14 / iPhone 13 Pro Max / iPhone 13 Pro / iPhone 13 / iPhone 12 Pro Max / iPhone 12 Pro / iPhone 12 / iPhone 11 Pro Max / iPhone 11 Pro / iP, Product Weight:49 Grams"
VIBESIDE Magsafe Wallet - Navy Blue,"Product color:Navy Blue, Product Compatible Devices:IPhone 14 Pro Max / iPhone 14 Pro / iPhone 14 Plus / iPhone 14 / iPhone 13 Pro Max / iPhone 13 Pro / iPhone 13 / iPhone 12 Pro Max / iPhone 12 Pro / iPhone 12 / iPhone 11 Pro Max / iPhone 11 Pro / iP, Product Display:Wireless, Product Material:FauxLeather, Product Weight:32 Grams"
VIBESIDE Magsafe Wallet - Black,"Product color:Black, Product Compatible Devices:IPhone 14 Pro Max / iPhone 14 Pro / iPhone 14 Plus / iPhone 14 / iPhone 13 Pro Max / iPhone 13 Pro / iPhone 13 / iPhone 12 Pro Max / iPhone 12 Pro / iPhone 12 / iPhone 11 Pro Max / iPhone 11 Pro / iP, Product Display:Wireless, Product Material:FauxLeather, Product Weight:18 Grams"
VIBESIDE Magsafe Wallet - Vegan Leather - Black-Camel,"Product color:Black-Camel, Product Compatible Devices:IPhone 14 Pro Max / iPhone 14 Pro / iPhone 14 Plus / iPhone 14 / iPhone 13 Pro Max / iPhone 13 Pro / iPhone 13 / iPhone 12 Pro Max / iPhone 12 Pro / iPhone 12 / iPhone 11 Pro Max / iPhone 11 Pro / iP, Product Display:Wireless, Product Material:FauxLeather, Product Weight:40 Grams"
VIBESIDE Magsafe Wallet - Vegan Leather - Blush Pink,"Product color:Blush Pink, Product Compatible Devices:IPhone 14 Pro Max / iPhone 14 Pro / iPhone 14 Plus / iPhone 14 / iPhone 13 Pro Max / iPhone 13 Pro / iPhone 13 / iPhone 12 Pro Max / iPhone 12 Pro / iPhone 12 / iPhone 11 Pro Max / iPhone 11 Pro / iP, Product Display:Wireless, Product Material:FauxLeather, Product Weight:45 Grams"
VIBESIDE Magsafe Wallet - Brown,"Product color:Brown, Product Compatible Devices:IPhone 14 Pro Max / iPhone 14 Pro / iPhone 14 Plus / iPhone 14 / iPhone 13 Pro Max / iPhone 13 Pro / iPhone 13 / iPhone 12 Pro Max / iPhone 12 Pro / iPhone 12 / iPhone 11 Pro Max / iPhone 11 Pro / iP, Product Display:Wireless, Product Material:FauxLeather, Product Weight:32 Grams"
New Upgrade MagSafe Leather Wallet - Blue Orange,"Product color:Blue+Orange, Product Compatible Devices:IPhone 14 Pro Max / iPhone 14 Pro / iPhone 14 Plus / iPhone 14 / iPhone 13 Pro Max / iPhone 13 Pro / iPhone 13 / iPhone 12 Pro Max / iPhone 12 Pro / iPhone 12 / iPhone 11 Pro Max / iPhone 11 Pro / iP, Product Display:Wireless, Product Material:FauxLeather, Product Weight:41 Grams"
New Upgrade MagSafe Leather Wallet - Black,"Product color:Black, Product Compatible Devices:IPhone 14 Pro Max / iPhone 14 Pro / iPhone 14 Plus / iPhone 14 / iPhone 13 Pro Max / iPhone 13 Pro / iPhone 13 / iPhone 12 Pro Max / iPhone 12 Pro / iPhone 12 / iPhone 11 Pro Max / iPhone 11 Pro / iP, Product Display:Wireless, Product Material:FauxLeather, Product Weight:32 Grams"
New Upgrade MagSafe Leather Wallet - Black Gray,"Product color:Black+Gray, Product Compatible Devices:IPhone 14 Pro Max / iPhone 14 Pro / iPhone 14 Plus / iPhone 14 / iPhone 13 Pro Max / iPhone 13 Pro / iPhone 13 / iPhone 12 Pro Max / iPhone 12 Pro / iPhone 12 / iPhone 11 Pro Max / iPhone 11 Pro / iP, Product Display:Wireless, Product Material:FauxLeather, Product Weight:32 Grams"
New Upgrade MagSafe Leather Wallet - Brown,"Product color:Brown, Product Compatible Devices:IPhone 14 Pro Max / iPhone 14 Pro / iPhone 14 Plus / iPhone 14 / iPhone 13 Pro Max / iPhone 13 Pro / iPhone 13 / iPhone 12 Pro Max / iPhone 12 Pro / iPhone 12 / iPhone 11 Pro Max / iPhone 11 Pro / iP, Product Display:Wireless, Product Material:FauxLeather, Product Weight:32 Grams"
New Upgrade MagSafe Leather Wallet - Dark Green,"Product color:Dark Green, Product Compatible Devices:IPhone 14 Pro Max / iPhone 14 Pro / iPhone 14 Plus / iPhone 14 / iPhone 13 Pro Max / iPhone 13 Pro / iPhone 13 / iPhone 12 Pro Max / iPhone 12 Pro / iPhone 12 / iPhone 11 Pro Max / iPhone 11 Pro / iP, Product Display:Wireless, Product Material:FauxLeather, Product Weight:32 Grams"
MagSafe Car Mount - Black,"Product color:Black, Product Compatible Devices:IPhone 14 Pro Max / iPhone 14 Pro / iPhone 14 Plus / iPhone 14 / iPhone 13 Pro Max / iPhone 13 Pro / iPhone 13 / iPhone 12 Pro Max / iPhone 12 Pro / iPhone 12 / iPhone 11 Pro Max / iPhone 11 Pro / iP, Product Weight:140 Grams"
